Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume
66,8.43,42.22,473.41,4,1,4,408.74
67,0.93,86.19,248.31,4,4,2,209.46
68,5,28.16,319.88,3,1,8,313.12
69,4,48.38,335.88,4,2,9,321.38
70,4.24,45.15,378.32,3,2,4,296.92
71,3.06,45.59,324.42,4,1,4,310.79
72,-0.47,83.88,171.16,6,1,3,146.77
73,-0.62,500.71,1291.25,29,6,16,951.76
74,-3.8,115.48,273.1,6,4,4,188.97
75,-1.9,64.36,102.09,4,3,0,87.08
76,0.35,64.51,204.31,4,4,9,221.06
77,1.46,38.91,166.25,2,2,2,152.4
78,-0.97,68.01,137.14,4,3,1,122.56
79,4.61,209.05,847.02,15,5,5,786.81
80,2.62,220.16,822.95,16,6,5,755.91
81,1.1,79.51,236.3,5,4,4,206.8
82,0.62,63.32,171.24,3,3,3,174.2
83,2.04,90.72,256.1,5,4,1,192.63
84,0.66,63.32,159.23,3,3,5,168.11
85,-0.39,63.32,129.16,3,3,4,129.09
86,1.32,26.02,135.21,1,2,2,145.52
87,2.97,52.33,305.46,3,2,7,322.67
88,2.1,12.47,191.27,2,0,1,195.35
89,2.63,16.13,240.35,2,0,5,247.63
90,3.88,3.24,239.36,1,0,5,251.79
91,2.29,43.08,308.77,4,0,1,263.23
92,2.77,87.29,315.72,6,1,2,252.93
93,3.73,48.19,299.76,4,1,1,258.83
94,-0.99,81.59,313.72,5,1,2,253.88
95,2.74,32.67,284.75,3,0,1,246.54
96,3.64,35.91,387.89,4,0,6,348.02
97,2.47,61.69,321.16,4,2,1,251.17
98,3.07,30.19,325.77,3,0,1,272.32
99,1.84,61.69,286.72,4,2,1,237.64
100,2.08,52.9,300.75,4,1,1,254.58
101,2.92,43.08,343.22,4,0,1,276.77
102,1.33,104.66,218.25,6,4,8,207.98
103,4.18,90.66,260.33,6,3,9,259.05
104,2.8,37.3,144.21,2,1,5,156.79
105,0.09,40.13,143.21,2,0,5,154.05
106,2.8,37.3,144.21,2,1,5,156.79
107,1.34,37.38,203.24,3,0,1,190.38
108,0.36,46.17,141.17,3,1,1,135.39
109,2.18,58.2,252.27,4,2,2,223.89
110,0.16,115.57,339.37,9,2,3,276.58
111,0.72,86.2,212.23,5,2,2,164.97
112,4.19,3.24,277.41,1,0,3,285.14
113,4.82,6.48,314.86,2,0,4,300.85
114,3.85,12.47,279.38,2,0,3,277.32
115,4.64,6.48,294.44,2,0,4,303.9
116,3.65,41.3,313.79,4,1,1,271.94
117,3.92,15.27,266.39,2,1,4,270.37
118,4.16,6.48,280.42,2,0,4,287.31
119,3.94,12.03,263.38,1,1,3,268.2
120,4.69,21.26,297.42,2,1,6,278.54
121,4.03,21.26,255.36,2,1,6,260.39
122,3.81,32.7,277.41,3,1,5,286.81
123,3.42,29.1,239.75,2,1,4,228.54
124,2.84,48.03,236.27,3,2,0,215.08
125,2.48,63.4,252.27,4,2,0,223.45
126,3.17,36.26,324.4,3,0,5,305
127,3.17,36.26,324.4,3,0,5,305
128,4.53,21.26,309.33,2,1,7,275.13
129,2.53,56.85,318.34,4,2,10,285.23
130,4.05,39.73,329.37,4,1,4,295.72
131,3.98,12.03,306.24,1,1,2,267.9
132,0.45,38.05,136.2,2,3,3,141.34
133,1.43,26.02,133.19,1,2,1,134.95
134,1.23,67.16,231.25,5,2,4,210.01
135,4.01,12.03,277.41,1,1,4,280.07
136,2.28,38.33,233.31,3,1,4,231
137,3.02,45.79,371.87,6,0,5,330.88
138,4.72,66.48,307.48,3,4,12,329.25
139,5.08,44.81,448.39,5,1,7,394.8
140,4.51,31.64,437.53,4,1,7,380.78
141,4.29,31.64,403.98,4,1,6,363.02
142,4.92,11.41,373.95,3,0,4,337.96
143,4.44,8.17,284.43,2,0,3,271.62
144,5.06,11.41,399.63,3,0,6,375.91
145,5.03,8.17,318.87,2,0,4,285.37
146,5.68,8.17,370.59,2,1,4,346.35
147,4.14,35.16,326.83,4,1,1,292.3
148,4.25,32.51,327.81,4,0,1,288.88
149,3.47,35.16,312.44,4,1,1,286.04
150,3.4,58.1,379.44,5,1,6,342.87
151,4.3,40.54,375.87,3,1,6,336.98
152,5.62,41.03,461.56,4,1,7,423.26
153,3.49,48.83,383.52,5,1,6,352.14
154,2.96,64.17,410.49,6,0,4,374.49
155,3.96,43.86,443.64,5,0,5,399.59
156,4.88,49.77,411.59,4,1,11,421.3
157,4.01,32.78,362.47,4,0,3,344.56
158,4.86,49.77,357.49,4,1,8,361.79
159,6.69,29.46,314.47,2,1,4,323.99
160,0.55,53.73,211.26,4,2,5,205.57
161,8.41,52.95,500.8,6,0,10,485.91
162,2.66,39.34,323.44,4,1,3,313.85
163,4.82,3.24,243.39,1,0,2,259.67
164,1.78,75.27,226.28,5,2,4,216.97
165,-1.93,81.59,211.24,5,1,3,197.32
166,1.55,75.27,224.26,5,2,4,211.34
167,-1.38,72.8,261.3,5,0,3,247.57
168,1.59,66.48,246.27,5,1,2,221.77
169,-1.37,81.59,225.27,5,1,4,214.12
170,0.8,75.27,232.24,5,2,2,204.82
171,0.92,58.2,218.26,4,2,2,202.64
172,-0.67,77.34,237.28,5,1,5,225.29
173,0.87,40.46,165.4,2,0,1,102.61
174,1.09,16.13,162.24,2,0,1,165.62
175,-3.13,77.52,135.11,5,1,0,105.83
176,1.1,83.11,399.44,7,1,5,364.15
177,-2.25,114.45,363.36,9,0,9,303.99
178,3.61,77.99,381.38,5,2,4,298.65
179,3.64,62.32,287.36,4,2,4,271.8
180,1.18,49.36,241.27,3,0,4,222.08
181,4.05,37.3,244.26,2,1,3,220.77
182,3.46,37.3,206.28,2,1,4,211.19
183,3.99,68.54,357.79,5,1,4,303.24
184,3.59,54.37,254.28,3,1,4,234.83
185,0.66,49.36,229.25,3,0,3,211.23
186,2.06,99.6,331.35,7,2,2,268.05
187,0.68,49.33,151.16,3,2,1,140.01
188,1.43,63.6,180.16,4,1,3,155.57
189,1.41,41.93,299.37,4,1,1,274.21
190,4.98,29.54,339.48,3,0,9,346.19
191,1.35,70,341.41,5,2,2,304.53
192,1.61,65.08,369.42,6,0,4,329.7
193,3.79,23.55,336.48,3,0,6,340.16
194,1.42,49.77,285.34,4,1,0,257
195,0.48,70,301.34,5,2,0,264.7
196,2.65,29.54,247.34,3,0,4,247.59
197,4.25,20.31,309.45,2,0,7,320.4
198,1.1,52.93,285.34,4,2,0,256.68
199,4.59,23.47,285.43,2,1,2,294.19
200,4.55,40.54,273.38,3,1,6,274.35
201,-1.49,59.06,360.47,5,1,8,347.61
202,1.05,62.3,303.36,5,1,5,277.2
203,-2.93,59.06,318.39,5,1,5,297.2
204,-5.6,52.61,290.4,6,0,11,301.19
205,2.96,29.1,237.73,2,1,2,218.4
206,3.7,20.23,178.28,1,1,2,191.96
207,3.34,32.34,288.44,3,1,5,301.5
208,2.23,55.57,270.76,4,2,7,249.95
209,2.13,32.34,234.34,3,1,5,244.86
210,1.91,32.34,246.35,3,1,2,251.09
211,2.51,41.12,220.32,3,2,5,227.95
212,1.97,55.57,236.31,4,2,7,236.41
213,0.14,88.89,252.35,6,3,7,231.45
214,0.33,86.26,314.41,7,2,10,288.97
215,1.15,35.54,345.09,3,0,0,143.71
216,2.54,67.59,299.8,5,3,7,278.91
217,2.37,39.83,293.37,4,0,2,274.52
218,2.63,114.62,557.64,7,3,12,511.06
219,1.42,85.52,410.46,5,2,8,374.66
220,4.34,72.84,404.55,5,1,7,400.57
221,3.91,90.65,421.47,5,3,8,377.52
222,-0.56,127.12,423.53,7,3,11,407.18
223,-0.6,143.75,480.54,9,2,10,414.33
224,4.76,72.84,418.57,5,1,7,416.81
225,1.77,49.77,289.38,4,1,5,279.01
226,1.78,49.77,275.35,4,1,4,262.21
227,2.1,39.06,255.37,3,1,1,255.32
228,0.79,35.54,368.5,4,0,7,364.67
229,0.91,74.6,238.33,4,2,9,203.71
230,-4.01,52.33,161.22,4,2,4,167.98
231,-4.14,52.33,147.2,4,2,4,151.4
232,1.36,68.36,325.41,5,3,3,304.95
233,2.08,118.21,581.67,10,3,4,516.6
234,1.9,68.36,339.44,5,3,4,321.75
235,3.34,59.09,414.53,6,0,7,377.75
236,3.07,110.46,346.34,8,1,6,302.78
237,2.58,99.89,408.88,7,3,10,363.9
238,4.55,63.97,454.61,6,0,13,454.3
239,4.25,59.59,414.35,5,2,9,332
240,0.99,58.36,235.33,4,3,6,239.83
241,2.19,165.17,227.09,12,1,8,160.02
242,8.31,42.68,645.32,4,0,11,437.04
243,1.12,203.08,780.95,14,6,7,720.14
244,2.78,59.22,339.48,4,2,8,344.36
245,-3.2,26.3,160.24,3,0,4,173.26
246,2.97,41.49,259.35,3,2,6,257.82
247,2.07,50.72,265.35,4,2,9,267.35
248,0.72,84.58,266.34,5,4,8,260.9
249,3.56,75.75,406.48,6,3,10,376.39
250,2.85,95.58,328.41,5,5,8,314.78
251,1.97,50.72,267.37,4,2,9,272.98
252,1.15,81.94,309.41,5,4,6,302.52
253,1.98,57.28,248.33,4,3,6,242.81
254,2.25,87.66,336.43,6,3,10,330.92
255,2.08,112.29,451.48,10,2,4,395.19
256,2.91,97.06,495.54,7,4,14,441.96
257,2.58,99.89,408.52,7,3,11,371.25
258,1.31,103.06,387.44,9,2,4,348.39
259,1.48,111.84,389.46,9,3,8,358.62
260,-1.09,57.61,217.29,4,1,3,195.65
261,0.51,95.94,376.45,7,2,10,356.76
262,2.61,36.42,230.1,3,2,2,181.94
263,1.84,58.53,230.68,4,1,0,170.39
264,0.99,67.65,198.31,4,4,3,211.63
265,0.69,63.83,160.18,4,3,1,143.41
266,1.91,106.96,383.41,9,2,4,336
267,5.01,117.81,608.69,11,1,10,549.89
268,1.35,72.71,239.31,4,4,5,237.12
269,-1.47,46.53,332.46,4,1,6,332.39
270,0.02,118.7,295.73,7,3,1,196.55
271,-0.06,118.36,297.75,7,4,1,202.5
272,2.46,92.5,365.84,6,3,3,295.23
273,0.78,109.57,360.24,7,3,2,249.8
274,2.77,92.5,365.84,6,3,2,294.99
275,1.77,122.63,330.75,7,4,5,249.48
276,4.36,12.47,303.83,2,0,8,291.35
277,1.24,32.26,165.24,2,2,3,171.24
278,-0.06,72.71,183.21,4,4,3,170.69
279,-1.04,86.71,169.18,4,5,2,153.01
280,0.41,52.48,167.21,3,3,3,162.67
281,4.49,106.98,521.05,7,1,8,473.3
282,4.18,106.98,504.6,7,1,8,464.7
283,3.19,93.07,430.54,6,2,4,403
284,2.14,97.75,402.49,6,1,4,373.71
285,2.06,94.83,392.47,5,3,2,358.07
286,2.31,100.9,422.49,6,2,4,384.18
287,2.38,74.6,376.47,4,2,1,349.81
288,4.61,80.67,500.58,5,1,6,431.38
289,1.62,94.83,362.47,5,3,2,343.06
290,2.07,94.83,374.48,5,3,2,353.46
291,1.59,94.83,360.45,5,3,2,336.88
292,1.41,91.67,358.43,5,2,2,331.01
293,4.09,54.37,370.53,3,1,2,370.55
294,2.56,93.07,434.5,6,2,2,390.25
295,4.25,46.26,337.46,3,1,0,326.51
296,4,58.2,372.55,4,2,2,376.72
297,-2.06,431.53,1209.42,28,17,32,1111.03
298,2.51,113.43,474.59,10,1,7,419.47
299,2.36,74.88,389.41,7,1,1,334.03
300,2.56,112.91,488.61,10,1,8,436.27
301,4.04,60.45,386.53,4,0,3,379.86
302,3.43,40.46,272.39,2,2,0,268.74
303,3.56,37.3,312.45,2,1,1,314.04
304,6.53,12.47,405.97,2,0,9,389.91
305,3.09,95.61,775.86,5,3,5,337.59
306,0.05,63.32,157.21,3,3,2,157.75
307,-0.02,70.34,307.32,4,0,4,274.44
308,2.46,92.34,324.4,6,2,4,284.8
309,2.21,75.27,276.75,5,2,4,222.96
310,3.81,124.67,490.63,9,3,7,445.9
311,2.31,130.15,445.55,9,3,7,393.9
312,4.77,113.6,494.01,8,3,8,424.74
313,1.35,78.5,311.41,6,2,3,278.58
314,2.54,75.27,270.35,5,2,5,242.79
315,-1.26,91.5,129.17,5,5,2,126.68
316,3.07,68.3,356.45,5,1,7,318.53
317,2.35,71.53,357.44,6,1,7,314.51
318,-2.06,20.23,166.24,2,1,2,174.76
319,-3.93,33.43,181.22,4,0,2,173.55
320,3.44,16.13,319.25,2,0,5,265.52
321,3.06,24.92,260.77,2,1,5,244.23
322,3.31,16.13,274.8,2,0,5,261.17
323,3.47,16.13,278.4,2,0,4,281.23
324,3.01,25.36,290.79,3,0,6,270.15
325,4.67,12.47,343.9,2,0,6,330.38
326,3.5,12.47,255.36,2,0,6,260.77
327,2.16,25.36,270.38,3,0,6,272.86
328,3.32,53.01,388.89,5,1,8,354.14
329,3.53,24.92,310.83,2,1,0,283.78
330,4.86,80.99,501.67,5,3,10,489.24
331,4.58,42.44,382.89,4,0,2,345.49
332,2.57,19.37,255.37,3,0,6,260.39
333,5.07,3.24,287.41,1,0,1,285.15
334,2.65,26.02,151.25,1,2,0,159.2
335,2.77,26.02,179.31,1,2,0,191.67
336,4.27,12.47,307.44,2,0,4,306.62
337,4.43,23.47,311.47,2,1,5,317.94
338,4.33,23.47,287.45,2,1,5,301.31
339,4.83,23.47,301.47,2,1,5,318.12
340,-2.2,103.78,197.19,5,5,3,172
341,2.64,3.24,187.29,1,0,4,202.64
342,-2.85,36.48,137.16,3,1,1,130.96
343,-0.78,127.06,313.25,9,0,4,249.88
344,3.9,12.47,269.39,2,0,6,277.33
345,2.91,88.41,441.23,7,3,6,319.36
346,4.22,64.59,531.32,5,3,4,371.29
347,4.12,107.14,615.4,9,2,5,445.89
348,-6.2,627.09,1415.58,38,25,36,1204.71
349,0.78,359.98,1255.44,28,6,8,1143.41
350,0.25,246.73,729.79,16,7,13,601.23
351,0.57,206.08,543.52,12,7,5,459.18
352,3.71,6.48,296.55,2,0,9,263.63
353,-5.26,164.13,248.09,8,6,5,184.87
354,-4.98,140.94,204.01,7,3,2,137
355,-3.61,141.35,318.22,8,4,9,269.89
356,-5.38,166.96,233.05,8,5,4,165.33
357,-4.83,151,282.11,8,4,4,207.23
358,-3.12,153.11,272.09,9,5,4,195.34
359,4.34,108.47,373.37,7,3,4,318.36
360,-1.31,205.83,560.69,14,7,23,541.85
361,2.28,52.59,216.19,4,0,1,179.69
362,-1.9,63.32,149.22,3,3,2,135.04
363,1,95.5,613.91,6,3,3,278.91
364,6.78,132.79,1139.76,8,4,9,483.37
365,-2.38,179.65,777.09,11,7,10,424.87
366,-2.26,188.43,777.09,11,8,10,424.51
367,-2.24,168.65,791.12,11,6,11,442.39
368,0.98,95.5,613.91,6,3,3,278.91
369,0.5,118.12,277.27,9,1,3,211.19
370,3.61,278.78,1202.63,5,2,15,1203.12
371,4.26,178.38,804.03,13,3,7,778.9
372,5.57,46.53,326.44,3,1,6,329.06
373,2.19,77.39,210.23,6,2,7,197.46
374,6.06,12.47,371.52,2,0,8,376.13
375,1.07,9.02,189.22,3,0,3,156.5
376,1.22,101.89,286.34,7,4,4,256.07
377,-0.95,93.04,236.23,7,2,2,199.28
378,-0.67,90.38,247.25,6,3,2,192.01
379,-1.09,90.38,229.26,6,3,2,187.07
380,-0.54,84.33,224.22,6,2,2,192.96
381,-0.1,134.08,267.25,9,2,3,224.06
382,-4.59,103.31,122.98,5,0,1,75.79
383,7.51,145.78,720.96,11,4,18,663.1
384,2.64,170.76,541.58,13,4,24,506.62
385,7.69,173.58,718.81,12,3,12,648.18
386,2.44,33.54,302.42,5,0,5,300.49
387,3.67,99.14,466.96,7,1,7,413.68
388,3.26,49.77,337.42,4,1,5,321.13
389,1.64,62.44,245.11,4,4,1,193.23
390,2.84,50.72,307.43,4,2,11,312.81
391,2.58,58.56,291.39,4,2,6,288.61
392,1.11,79.75,316.43,7,2,7,290.6
393,3.16,89.78,415.57,5,4,12,418.59
394,4.48,86.99,432.6,5,3,14,437.94
395,4.62,76,452.54,5,2,13,425.46
396,4.21,96.22,500.55,6,3,14,455.24
397,1.86,62.2,292.14,5,2,2,208.44
398,-0.18,106.33,324.45,6,3,3,250.85
399,0.34,118.81,383.52,8,3,7,306.19
400,1.96,70.59,292.38,5,3,6,284.21
401,2.49,67.79,309.41,5,2,8,308.04
402,4.33,94.32,453.54,6,3,8,420.89
403,0.13,530.49,1449.27,33,21,13,1207.3
404,-1.61,119.06,225.21,8,4,4,187.75
405,-2.7,147.91,279.19,9,5,6,224.14
406,-0.85,139.55,267.25,9,5,2,218.53
407,-0.99,104.56,296.2,7,3,3,221.93
408,-0.8,104.56,354.1,7,3,2,214.62
409,-1.15,115.05,222.25,7,3,2,157.11
410,-0.15,107.43,236.28,7,2,1,174.05
411,2.85,24.39,210.28,2,1,2,203.26
412,2.26,24.39,200.28,2,1,1,198.86
413,-3.56,26.3,146.21,3,0,4,156.67
414,-3.09,35.54,256.33,4,0,8,243.31
415,-0.24,44.13,208.26,4,0,3,199.56
416,2.47,49.77,291.39,4,1,7,289.24
417,1.58,53.43,284.36,4,1,6,274.88
418,0.84,46.25,151.21,2,3,2,153.54
419,-1.23,40.13,381.83,2,0,4,193.35
420,-0.87,146.9,334.33,9,5,4,280.5
421,2.87,55.85,303.36,5,0,5,281.92
422,3.8,64.8,308.42,5,2,11,312.37
423,1.97,55.57,236.31,4,2,7,236.41
424,3.43,41.57,264.37,4,1,9,270.89
425,0.3,83.22,333.16,4,2,4,244.67
426,1.85,52.16,295.14,3,1,4,235.99
427,2.2,59.3,255.27,4,1,3,226.39
428,1.41,133.99,615.49,9,2,7,490.83
429,-5.81,399.71,776.65,25,14,12,632.39
430,-2.8,53.02,122.1,3,0,1,104.15
431,0.27,50.19,123.11,3,1,1,106.89
432,-0.48,55.99,122.13,3,2,1,110.16
433,0.04,33.12,109.13,2,1,1,104.71
434,9.29,34.14,564.85,2,0,10,596.33
435,2.46,90.89,270.24,5,3,1,224.05
436,3.48,35.54,242.27,3,0,4,231.77
437,5.92,20.23,286.46,1,1,5,313.41
438,1.16,124.44,384.25,8,4,9,381.19
439,3.44,71.67,451.62,7,2,8,442.37
440,3.6,118.21,654.61,10,3,5,546.41
441,-0.43,86.75,246.31,6,0,7,193.8
442,1.88,122.92,359.35,9,3,7,311.36
443,-0.45,74.6,144.13,4,2,2,122.7
444,1.67,61.77,214.05,5,1,5,165.91
445,2.79,74.75,393.44,7,1,10,362.06
446,4.08,87.55,499.62,9,2,10,470.39
447,4.19,68.75,446.91,7,1,8,385.07
448,-1.76,0,265.98,0,0,0,73.26
449,4.01,78,450.35,6,3,5,375.18
450,0.76,41.57,261.09,4,1,5,209
451,-1.93,130.84,243.22,8,5,2,201.84
452,4.72,110.87,519.57,7,3,6,412.62
453,5.56,91.92,489.93,6,2,7,388.06
454,3.13,106.5,488.02,9,3,7,419.1
455,3.89,86.28,493.62,8,2,7,461.44
456,4.99,97.63,529.53,8,2,7,446.63
457,4.95,221.31,853.92,15,4,14,756.6
458,4.24,224.46,807.89,15,5,13,723.85
459,0.7,160.86,588.56,13,3,5,493.51
460,-1.04,186.08,365.21,12,6,4,268.81
461,-0.59,65.72,130.08,4,2,0,96.91
462,-1.6,110.61,263.2,7,4,2,203.36
463,2.66,56.74,240.31,4,2,2,227.12
464,-0.79,92.5,259.26,6,3,1,223.02
465,0.08,66.56,305.2,4,3,8,263.03
466,-3.08,216.21,452.43,13,5,9,381.88
467,0.36,163.16,444.49,10,8,12,398.67
468,2.46,95.23,317.22,7,1,3,240.61
469,-2.02,47.04,112.18,2,2,0,119.83
470,3.27,119.04,437.53,9,3,5,377.9
471,4.76,92.35,464.83,7,3,6,368.26
472,1.95,80.99,398.48,6,3,7,370.95
473,-2.64,196.92,425.4,111,5,9,359.47
474,6.22,70,473.59,5,2,7,425.12
475,6.06,12.47,371.52,2,0,8,376.13
476,1.07,9.02,189.22,3,0,3,156.5
477,0.79,130.76,493.49,9,3,3,414.7
478,5.56,154.11,810.99,13,3,10,744.65
479,4.95,171.18,824.97,14,3,10,747.07
480,-3.46,161.31,249.1,8,7,5,187.62
481,4.63,40.54,375.56,3,1,6,344
482,-0.62,136.39,287.22,9,4,5,232.58
483,4.72,110.87,519.57,7,3,6,412.62
484,4.16,6.48,280.42,2,0,4,287.31
485,3.27,43.69,263.38,3,2,4,269.29
486,3.75,67.51,282.3,4,1,2,249.5
487,4.98,59.52,475.36,6,1,6,380.22
488,6.06,12.47,405.97,2,0,9,389.91
489,4.06,66.49,417.82,5,2,6,334.21
490,4.77,140.14,540.02,11,3,10,448.1
491,4.24,65.77,532.57,7,1,5,464.59
492,4.06,77.34,446.56,8,1,9,420.14
493,2.99,83.17,487.51,9,1,6,420.04
494,6.17,105.24,558.15,8,3,9,499.36
495,5.06,85.86,584.11,9,2,8,528.37
496,1.73,110.08,406.42,8,2,0,350.22
497,4.99,97.63,529.53,8,2,7,446.63
498,3.5,99.18,440.51,8,2,5,396.71
499,2.26,118.52,465.52,9,3,4,413.29
500,-2.08,112.14,268.27,8,4,2,229.99
501,6,0,320.05,0,0,3,243.25
502,3.92,20.31,295.43,2,0,7,303.81
503,0.8,75.27,232.24,5,2,2,204.82
504,-1.31,58.92,146.14,4,2,0,125.87
505,4.87,92.52,422.92,7,2,8,374.12
506,0.92,71.11,337.35,7,1,4,295.4
507,3.66,40.46,296.41,2,2,0,290.67
508,4.35,92.78,776.87,5,4,5,340.33
509,2.92,74.6,427.37,4,2,2,372.19
510,2.73,86.2,314.37,5,2,3,263.55
511,2.73,86.2,314.37,5,2,3,263.55
512,0.28,32.86,163.15,2,1,0,136.94
513,6.56,35.54,354.49,3,0,8,363.39
