Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predicted_Output_supervisedModel,Prediction_ANNModel
111,0.72,86.2,212.23,5,2,2,164.97,1,1
112,4.19,3.24,277.41,1,0,3,285.14,0,0
113,4.82,6.48,314.86,2,0,4,300.85,0,0
114,3.85,12.47,279.38,2,0,3,277.32,0,0
115,4.64,6.48,294.44,2,0,4,303.9,0,0
116,3.65,41.3,313.79,4,1,1,271.94,0,0
117,3.92,15.27,266.39,2,1,4,270.37,0,0
118,4.16,6.48,280.42,2,0,4,287.31,0,0
119,3.94,12.03,263.38,1,1,3,268.2,0,0
120,4.69,21.26,297.42,2,1,6,278.54,1,0
121,4.03,21.26,255.36,2,1,6,260.39,1,0
122,3.81,32.7,277.41,3,1,5,286.81,1,0
123,3.42,29.1,239.75,2,1,4,228.54,1,0
124,2.84,48.03,236.27,3,2,0,215.08,0,0
125,2.48,63.4,252.27,4,2,0,223.45,1,0
126,3.17,36.26,324.4,3,0,5,305,0,0
127,3.17,36.26,324.4,3,0,5,305,0,0
128,4.53,21.26,309.33,2,1,7,275.13,0,0
129,2.53,56.85,318.34,4,2,10,285.23,1,1
130,4.05,39.73,329.37,4,1,4,295.72,0,0
131,3.98,12.03,306.24,1,1,2,267.9,0,0
132,0.45,38.05,136.2,2,3,3,141.34,1,1
133,1.43,26.02,133.19,1,2,1,134.95,1,1
134,1.23,67.16,231.25,5,2,4,210.01,1,1
135,4.01,12.03,277.41,1,1,4,280.07,0,0
136,2.28,38.33,233.31,3,1,4,231,1,0
137,3.02,45.79,371.87,6,0,5,330.88,0,0
138,4.72,66.48,307.48,3,4,12,329.25,0,0
139,5.08,44.81,448.39,5,1,7,394.8,0,0
140,4.51,31.64,437.53,4,1,7,380.78,0,0
141,4.29,31.64,403.98,4,1,6,363.02,0,0
142,4.92,11.41,373.95,3,0,4,337.96,0,0
143,4.44,8.17,284.43,2,0,3,271.62,0,0
144,5.06,11.41,399.63,3,0,6,375.91,0,0
145,5.03,8.17,318.87,2,0,4,285.37,0,0
146,5.68,8.17,370.59,2,1,4,346.35,0,0
147,4.14,35.16,326.83,4,1,1,292.3,0,0
148,4.25,32.51,327.81,4,0,1,288.88,0,0
149,3.47,35.16,312.44,4,1,1,286.04,0,0
150,3.4,58.1,379.44,5,1,6,342.87,0,0
151,4.3,40.54,375.87,3,1,6,336.98,0,0
152,5.62,41.03,461.56,4,1,7,423.26,0,0
153,3.49,48.83,383.52,5,1,6,352.14,0,0
154,2.96,64.17,410.49,6,0,4,374.49,0,0
155,3.96,43.86,443.64,5,0,5,399.59,0,0
156,4.88,49.77,411.59,4,1,11,421.3,0,0
157,4.01,32.78,362.47,4,0,3,344.56,0,0
158,4.86,49.77,357.49,4,1,8,361.79,0,0
159,6.69,29.46,314.47,2,1,4,323.99,0,0
160,0.55,53.73,211.26,4,2,5,205.57,1,1
161,8.41,52.95,500.8,6,0,10,485.91,0,0
162,2.66,39.34,323.44,4,1,3,313.85,0,0
163,4.82,3.24,243.39,1,0,2,259.67,0,0
164,1.78,75.27,226.28,5,2,4,216.97,1,1
165,-1.93,81.59,211.24,5,1,3,197.32,1,1
166,1.55,75.27,224.26,5,2,4,211.34,1,1
167,-1.38,72.8,261.3,5,0,3,247.57,1,1
168,1.59,66.48,246.27,5,1,2,221.77,1,1
169,-1.37,81.59,225.27,5,1,4,214.12,1,1
170,0.8,75.27,232.24,5,2,2,204.82,1,1
171,0.92,58.2,218.26,4,2,2,202.64,1,1
172,-0.67,77.34,237.28,5,1,5,225.29,1,1
173,0.87,40.46,165.4,2,0,1,102.61,1,1
174,1.09,16.13,162.24,2,0,1,165.62,0,1
175,-3.13,77.52,135.11,5,1,0,105.83,1,1
176,1.1,83.11,399.44,7,1,5,364.15,1,1
177,-2.25,114.45,363.36,9,0,9,303.99,1,1
178,3.61,77.99,381.38,5,2,4,298.65,0,0
179,3.64,62.32,287.36,4,2,4,271.8,0,0
180,1.18,49.36,241.27,3,0,4,222.08,1,1
181,4.05,37.3,244.26,2,1,3,220.77,0,0
182,3.46,37.3,206.28,2,1,4,211.19,0,0
183,3.99,68.54,357.79,5,1,4,303.24,0,0
184,3.59,54.37,254.28,3,1,4,234.83,0,0
185,0.66,49.36,229.25,3,0,3,211.23,1,1
186,2.06,99.6,331.35,7,2,2,268.05,1,1
187,0.68,49.33,151.16,3,2,1,140.01,1,1
188,1.43,63.6,180.16,4,1,3,155.57,1,1
189,1.41,41.93,299.37,4,1,1,274.21,1,1
190,4.98,29.54,339.48,3,0,9,346.19,0,0
191,1.35,70,341.41,5,2,2,304.53,1,1
192,1.61,65.08,369.42,6,0,4,329.7,1,1
193,3.79,23.55,336.48,3,0,6,340.16,0,0
194,1.42,49.77,285.34,4,1,0,257,1,1
195,0.48,70,301.34,5,2,0,264.7,1,1
196,2.65,29.54,247.34,3,0,4,247.59,1,0
197,4.25,20.31,309.45,2,0,7,320.4,0,0
198,1.1,52.93,285.34,4,2,0,256.68,1,1
199,4.59,23.47,285.43,2,1,2,294.19,0,0
200,4.55,40.54,273.38,3,1,6,274.35,0,0
201,-1.49,59.06,360.47,5,1,8,347.61,1,1
202,1.05,62.3,303.36,5,1,5,277.2,1,1
203,-2.93,59.06,318.39,5,1,5,297.2,1,1
204,-5.6,52.61,290.4,6,0,11,301.19,1,1
205,2.96,29.1,237.73,2,1,2,218.4,1,0
206,3.7,20.23,178.28,1,1,2,191.96,0,0
207,3.34,32.34,288.44,3,1,5,301.5,1,0
208,2.23,55.57,270.76,4,2,7,249.95,1,1
209,2.13,32.34,234.34,3,1,5,244.86,1,1
210,1.91,32.34,246.35,3,1,2,251.09,1,1
211,2.51,41.12,220.32,3,2,5,227.95,1,0
212,1.97,55.57,236.31,4,2,7,236.41,1,1
213,0.14,88.89,252.35,6,3,7,231.45,1,1
214,0.33,86.26,314.41,7,2,10,288.97,1,1
215,1.15,35.54,345.09,3,0,0,143.71,1,0
216,2.54,67.59,299.8,5,3,7,278.91,1,1
217,2.37,39.83,293.37,4,0,2,274.52,1,0
218,2.63,114.62,557.64,7,3,12,511.06,0,1
219,1.42,85.52,410.46,5,2,8,374.66,1,1
220,4.34,72.84,404.55,5,1,7,400.57,0,0
221,3.91,90.65,421.47,5,3,8,377.52,0,0
222,-0.56,127.12,423.53,7,3,11,407.18,1,1
223,-0.6,143.75,480.54,9,2,10,414.33,1,1
224,4.76,72.84,418.57,5,1,7,416.81,0,0
225,1.77,49.77,289.38,4,1,5,279.01,1,1
226,1.78,49.77,275.35,4,1,4,262.21,1,1
227,2.1,39.06,255.37,3,1,1,255.32,1,0
228,0.79,35.54,368.5,4,0,7,364.67,1,1
229,0.91,74.6,238.33,4,2,9,203.71,1,1
230,-4.01,52.33,161.22,4,2,4,167.98,1,1
231,-4.14,52.33,147.2,4,2,4,151.4,1,1
232,1.36,68.36,325.41,5,3,3,304.95,1,1
233,2.08,118.21,581.67,10,3,4,516.6,0,0
234,1.9,68.36,339.44,5,3,4,321.75,1,1
235,3.34,59.09,414.53,6,0,7,377.75,0,0
236,3.07,110.46,346.34,8,1,6,302.78,0,0
237,2.58,99.89,408.88,7,3,10,363.9,0,1
238,4.55,63.97,454.61,6,0,13,454.3,0,0
239,4.25,59.59,414.35,5,2,9,332,0,0
240,0.99,58.36,235.33,4,3,6,239.83,1,1
241,2.19,165.17,227.09,12,1,8,160.02,1,1
242,8.31,42.68,645.32,4,0,11,437.04,0,0
243,1.12,203.08,780.95,14,6,7,720.14,0,0
244,2.78,59.22,339.48,4,2,8,344.36,0,1
245,-3.2,26.3,160.24,3,0,4,173.26,1,1
246,2.97,41.49,259.35,3,2,6,257.82,1,0
247,2.07,50.72,265.35,4,2,9,267.35,1,1
248,0.72,84.58,266.34,5,4,8,260.9,1,1
249,3.56,75.75,406.48,6,3,10,376.39,0,1
250,2.85,95.58,328.41,5,5,8,314.78,0,1
251,1.97,50.72,267.37,4,2,9,272.98,1,1
252,1.15,81.94,309.41,5,4,6,302.52,1,1
253,1.98,57.28,248.33,4,3,6,242.81,1,1
254,2.25,87.66,336.43,6,3,10,330.92,1,1
255,2.08,112.29,451.48,10,2,4,395.19,1,0
256,2.91,97.06,495.54,7,4,14,441.96,0,1
257,2.58,99.89,408.52,7,3,11,371.25,0,1
258,1.31,103.06,387.44,9,2,4,348.39,1,0
259,1.48,111.84,389.46,9,3,8,358.62,1,1
260,-1.09,57.61,217.29,4,1,3,195.65,1,1
261,0.51,95.94,376.45,7,2,10,356.76,1,1
262,2.61,36.42,230.1,3,2,2,181.94,0,0
263,1.84,58.53,230.68,4,1,0,170.39,1,0
264,0.99,67.65,198.31,4,4,3,211.63,1,1
265,0.69,63.83,160.18,4,3,1,143.41,1,1
266,1.91,106.96,383.41,9,2,4,336,1,0
267,5.01,117.81,608.69,11,1,10,549.89,0,0
268,1.35,72.71,239.31,4,4,5,237.12,1,1
269,-1.47,46.53,332.46,4,1,6,332.39,1,1
270,0.02,118.7,295.73,7,3,1,196.55,1,1
271,-0.06,118.36,297.75,7,4,1,202.5,1,1
272,2.46,92.5,365.84,6,3,3,295.23,0,1
273,0.78,109.57,360.24,7,3,2,249.8,1,1
274,2.77,92.5,365.84,6,3,2,294.99,0,0
275,1.77,122.63,330.75,7,4,5,249.48,1,1
276,4.36,12.47,303.83,2,0,8,291.35,0,0
277,1.24,32.26,165.24,2,2,3,171.24,1,1
278,-0.06,72.71,183.21,4,4,3,170.69,1,1
279,-1.04,86.71,169.18,4,5,2,153.01,1,1
280,0.41,52.48,167.21,3,3,3,162.67,1,1
281,4.49,106.98,521.05,7,1,8,473.3,0,0
282,4.18,106.98,504.6,7,1,8,464.7,0,0
283,3.19,93.07,430.54,6,2,4,403,0,0
284,2.14,97.75,402.49,6,1,4,373.71,0,0
285,2.06,94.83,392.47,5,3,2,358.07,1,1
286,2.31,100.9,422.49,6,2,4,384.18,1,0
287,2.38,74.6,376.47,4,2,1,349.81,0,0
288,4.61,80.67,500.58,5,1,6,431.38,0,0
289,1.62,94.83,362.47,5,3,2,343.06,1,1
290,2.07,94.83,374.48,5,3,2,353.46,1,1
291,1.59,94.83,360.45,5,3,2,336.88,1,1
292,1.41,91.67,358.43,5,2,2,331.01,1,1
293,4.09,54.37,370.53,3,1,2,370.55,0,0
294,2.56,93.07,434.5,6,2,2,390.25,0,0
295,4.25,46.26,337.46,3,1,0,326.51,0,0
296,4,58.2,372.55,4,2,2,376.72,0,0
297,-2.06,431.53,1209.42,28,17,32,1111.03,0,0
298,2.51,113.43,474.59,10,1,7,419.47,0,0
299,2.36,74.88,389.41,7,1,1,334.03,0,0
300,2.56,112.91,488.61,10,1,8,436.27,0,0
301,4.04,60.45,386.53,4,0,3,379.86,0,0
302,3.43,40.46,272.39,2,2,0,268.74,0,0
303,3.56,37.3,312.45,2,1,1,314.04,0,0
304,6.53,12.47,405.97,2,0,9,389.91,0,0
305,3.09,95.61,775.86,5,3,5,337.59,0,0
306,0.05,63.32,157.21,3,3,2,157.75,1,1
307,-0.02,70.34,307.32,4,0,4,274.44,1,1
308,2.46,92.34,324.4,6,2,4,284.8,0,1
309,2.21,75.27,276.75,5,2,4,222.96,1,1
310,3.81,124.67,490.63,9,3,7,445.9,0,0
311,2.31,130.15,445.55,9,3,7,393.9,1,1
312,4.77,113.6,494.01,8,3,8,424.74,0,0
313,1.35,78.5,311.41,6,2,3,278.58,1,1
314,2.54,75.27,270.35,5,2,5,242.79,1,1
315,-1.26,91.5,129.17,5,5,2,126.68,1,1
316,3.07,68.3,356.45,5,1,7,318.53,0,0
317,2.35,71.53,357.44,6,1,7,314.51,0,1
318,-2.06,20.23,166.24,2,1,2,174.76,1,1
319,-3.93,33.43,181.22,4,0,2,173.55,1,1
320,3.44,16.13,319.25,2,0,5,265.52,0,0
321,3.06,24.92,260.77,2,1,5,244.23,1,0
322,3.31,16.13,274.8,2,0,5,261.17,0,0
323,3.47,16.13,278.4,2,0,4,281.23,1,0
324,3.01,25.36,290.79,3,0,6,270.15,1,0
325,4.67,12.47,343.9,2,0,6,330.38,0,0
326,3.5,12.47,255.36,2,0,6,260.77,0,0
327,2.16,25.36,270.38,3,0,6,272.86,1,1
328,3.32,53.01,388.89,5,1,8,354.14,0,0
329,3.53,24.92,310.83,2,1,0,283.78,0,0
330,4.86,80.99,501.67,5,3,10,489.24,0,0
331,4.58,42.44,382.89,4,0,2,345.49,0,0
332,2.57,19.37,255.37,3,0,6,260.39,1,1
333,5.07,3.24,287.41,1,0,1,285.15,0,0
334,2.65,26.02,151.25,1,2,0,159.2,0,0
335,2.77,26.02,179.31,1,2,0,191.67,0,0
336,4.27,12.47,307.44,2,0,4,306.62,0,0
337,4.43,23.47,311.47,2,1,5,317.94,0,0
338,4.33,23.47,287.45,2,1,5,301.31,0,0
339,4.83,23.47,301.47,2,1,5,318.12,0,0
340,-2.2,103.78,197.19,5,5,3,172,1,1
341,2.64,3.24,187.29,1,0,4,202.64,0,0
342,-2.85,36.48,137.16,3,1,1,130.96,1,1
343,-0.78,127.06,313.25,9,0,4,249.88,1,1
344,3.9,12.47,269.39,2,0,6,277.33,0,0
345,2.91,88.41,441.23,7,3,6,319.36,0,1
346,4.22,64.59,531.32,5,3,4,371.29,0,0
347,4.12,107.14,615.4,9,2,5,445.89,0,0
348,-6.2,627.09,1415.58,38,25,36,1204.71,0,1
349,0.78,359.98,1255.44,28,6,8,1143.41,0,0
350,0.25,246.73,729.79,16,7,13,601.23,0,0
351,0.57,206.08,543.52,12,7,5,459.18,0,1
352,3.71,6.48,296.55,2,0,9,263.63,0,0
353,-5.26,164.13,248.09,8,6,5,184.87,1,1
354,-4.98,140.94,204.01,7,3,2,137,1,1
355,-3.61,141.35,318.22,8,4,9,269.89,1,1
356,-5.38,166.96,233.05,8,5,4,165.33,1,1
357,-4.83,151,282.11,8,4,4,207.23,1,1
358,-3.12,153.11,272.09,9,5,4,195.34,1,1
359,4.34,108.47,373.37,7,3,4,318.36,0,0
360,-1.31,205.83,560.69,14,7,23,541.85,0,1
361,2.28,52.59,216.19,4,0,1,179.69,0,0
362,-1.9,63.32,149.22,3,3,2,135.04,1,1
363,1,95.5,613.91,6,3,3,278.91,1,1
364,6.78,132.79,1139.76,8,4,9,483.37,0,0
365,-2.38,179.65,777.09,11,7,10,424.87,0,1
366,-2.26,188.43,777.09,11,8,10,424.51,0,1
367,-2.24,168.65,791.12,11,6,11,442.39,0,1
368,0.98,95.5,613.91,6,3,3,278.91,1,1
369,0.5,118.12,277.27,9,1,3,211.19,1,1
370,3.61,278.78,1202.63,5,2,15,1203.12,0,0
371,4.26,178.38,804.03,13,3,7,778.9,0,0
372,5.57,46.53,326.44,3,1,6,329.06,0,0
373,2.19,77.39,210.23,6,2,7,197.46,1,1
374,6.06,12.47,371.52,2,0,8,376.13,0,0
375,1.07,9.02,189.22,3,0,3,156.5,0,1
376,1.22,101.89,286.34,7,4,4,256.07,1,1
377,-0.95,93.04,236.23,7,2,2,199.28,1,1
378,-0.67,90.38,247.25,6,3,2,192.01,1,1
379,-1.09,90.38,229.26,6,3,2,187.07,1,1
380,-0.54,84.33,224.22,6,2,2,192.96,1,1
381,-0.1,134.08,267.25,9,2,3,224.06,1,1
382,-4.59,103.31,122.98,5,0,1,75.79,1,1
383,7.51,145.78,720.96,11,4,18,663.1,0,0
384,2.64,170.76,541.58,13,4,24,506.62,0,1
385,7.69,173.58,718.81,12,3,12,648.18,0,0
386,2.44,33.54,302.42,5,0,5,300.49,1,0
387,3.67,99.14,466.96,7,1,7,413.68,0,0
388,3.26,49.77,337.42,4,1,5,321.13,0,0
389,1.64,62.44,245.11,4,4,1,193.23,1,1
390,2.84,50.72,307.43,4,2,11,312.81,0,1
391,2.58,58.56,291.39,4,2,6,288.61,1,1
392,1.11,79.75,316.43,7,2,7,290.6,1,1
393,3.16,89.78,415.57,5,4,12,418.59,0,1
394,4.48,86.99,432.6,5,3,14,437.94,0,0
395,4.62,76,452.54,5,2,13,425.46,0,0
396,4.21,96.22,500.55,6,3,14,455.24,0,0
397,1.86,62.2,292.14,5,2,2,208.44,0,1
398,-0.18,106.33,324.45,6,3,3,250.85,1,1
399,0.34,118.81,383.52,8,3,7,306.19,1,1
400,1.96,70.59,292.38,5,3,6,284.21,1,1
401,2.49,67.79,309.41,5,2,8,308.04,1,1
402,4.33,94.32,453.54,6,3,8,420.89,0,0
403,0.13,530.49,1449.27,33,21,13,1207.3,0,0
404,-1.61,119.06,225.21,8,4,4,187.75,1,1
405,-2.7,147.91,279.19,9,5,6,224.14,1,1
406,-0.85,139.55,267.25,9,5,2,218.53,1,1
407,-0.99,104.56,296.2,7,3,3,221.93,1,1
408,-0.8,104.56,354.1,7,3,2,214.62,1,1
409,-1.15,115.05,222.25,7,3,2,157.11,1,1
410,-0.15,107.43,236.28,7,2,1,174.05,1,1
411,2.85,24.39,210.28,2,1,2,203.26,0,0
412,2.26,24.39,200.28,2,1,1,198.86,0,0
413,-3.56,26.3,146.21,3,0,4,156.67,1,1
414,-3.09,35.54,256.33,4,0,8,243.31,1,1
415,-0.24,44.13,208.26,4,0,3,199.56,1,1
416,2.47,49.77,291.39,4,1,7,289.24,1,1
417,1.58,53.43,284.36,4,1,6,274.88,1,1
418,0.84,46.25,151.21,2,3,2,153.54,1,1
419,-1.23,40.13,381.83,2,0,4,193.35,1,1
420,-0.87,146.9,334.33,9,5,4,280.5,1,1
421,2.87,55.85,303.36,5,0,5,281.92,1,0
422,3.8,64.8,308.42,5,2,11,312.37,0,0
423,1.97,55.57,236.31,4,2,7,236.41,1,1
424,3.43,41.57,264.37,4,1,9,270.89,0,0
425,0.3,83.22,333.16,4,2,4,244.67,1,1
426,1.85,52.16,295.14,3,1,4,235.99,1,1
427,2.2,59.3,255.27,4,1,3,226.39,1,1
428,1.41,133.99,615.49,9,2,7,490.83,0,0
429,-5.81,399.71,776.65,25,14,12,632.39,0,1
430,-2.8,53.02,122.1,3,0,1,104.15,1,1
431,0.27,50.19,123.11,3,1,1,106.89,1,1
432,-0.48,55.99,122.13,3,2,1,110.16,1,1
433,0.04,33.12,109.13,2,1,1,104.71,1,1
434,9.29,34.14,564.85,2,0,10,596.33,0,0
435,2.46,90.89,270.24,5,3,1,224.05,0,1
436,3.48,35.54,242.27,3,0,4,231.77,1,0
437,5.92,20.23,286.46,1,1,5,313.41,0,0
438,1.16,124.44,384.25,8,4,9,381.19,1,1
439,3.44,71.67,451.62,7,2,8,442.37,0,0
440,3.6,118.21,654.61,10,3,5,546.41,0,0
441,-0.43,86.75,246.31,6,0,7,193.8,1,1
442,1.88,122.92,359.35,9,3,7,311.36,1,1
443,-0.45,74.6,144.13,4,2,2,122.7,1,1
444,1.67,61.77,214.05,5,1,5,165.91,1,1
445,2.79,74.75,393.44,7,1,10,362.06,0,0
446,4.08,87.55,499.62,9,2,10,470.39,0,0
447,4.19,68.75,446.91,7,1,8,385.07,0,0
448,-1.76,0,265.98,0,0,0,73.26,1,1
449,4.01,78,450.35,6,3,5,375.18,0,0
450,0.76,41.57,261.09,4,1,5,209,1,1
451,-1.93,130.84,243.22,8,5,2,201.84,1,1
452,4.72,110.87,519.57,7,3,6,412.62,0,0
453,5.56,91.92,489.93,6,2,7,388.06,0,0
454,3.13,106.5,488.02,9,3,7,419.1,0,0
455,3.89,86.28,493.62,8,2,7,461.44,0,0
456,4.99,97.63,529.53,8,2,7,446.63,0,0
457,4.95,221.31,853.92,15,4,14,756.6,0,0
458,4.24,224.46,807.89,15,5,13,723.85,0,0
459,0.7,160.86,588.56,13,3,5,493.51,0,0
460,-1.04,186.08,365.21,12,6,4,268.81,1,1
461,-0.59,65.72,130.08,4,2,0,96.91,1,1
462,-1.6,110.61,263.2,7,4,2,203.36,1,1
463,2.66,56.74,240.31,4,2,2,227.12,1,0
464,-0.79,92.5,259.26,6,3,1,223.02,1,1
465,0.08,66.56,305.2,4,3,8,263.03,1,1
466,-3.08,216.21,452.43,13,5,9,381.88,1,1
467,0.36,163.16,444.49,10,8,12,398.67,1,1
468,2.46,95.23,317.22,7,1,3,240.61,0,1
469,-2.02,47.04,112.18,2,2,0,119.83,1,1
470,3.27,119.04,437.53,9,3,5,377.9,0,0
471,4.76,92.35,464.83,7,3,6,368.26,0,0
472,1.95,80.99,398.48,6,3,7,370.95,1,1
473,-2.64,196.92,425.4,111,5,9,359.47,1,0
474,6.22,70,473.59,5,2,7,425.12,0,0
475,6.06,12.47,371.52,2,0,8,376.13,0,0
476,1.07,9.02,189.22,3,0,3,156.5,0,1
477,0.79,130.76,493.49,9,3,3,414.7,1,0
478,5.56,154.11,810.99,13,3,10,744.65,0,0
479,4.95,171.18,824.97,14,3,10,747.07,0,0
480,-3.46,161.31,249.1,8,7,5,187.62,1,1
481,4.63,40.54,375.56,3,1,6,344,0,0
482,-0.62,136.39,287.22,9,4,5,232.58,1,1
483,4.72,110.87,519.57,7,3,6,412.62,0,0
484,4.16,6.48,280.42,2,0,4,287.31,0,0
485,3.27,43.69,263.38,3,2,4,269.29,1,0
486,3.75,67.51,282.3,4,1,2,249.5,0,0
487,4.98,59.52,475.36,6,1,6,380.22,0,0
488,6.06,12.47,405.97,2,0,9,389.91,0,0
489,4.06,66.49,417.82,5,2,6,334.21,0,0
490,4.77,140.14,540.02,11,3,10,448.1,0,0
491,4.24,65.77,532.57,7,1,5,464.59,0,0
